,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,coordinates,place,hashtags,followers,friends,ijoy,sentiment_score
2872,2021-11-01T18:07:53+00:00,So I barely have to take the train because my commute doesn’t work that way. But I’m about to start jumping on the @cta for joy rides just because. 💙💛 @chicagosky https://t.co/ANTSo5CZBF,1455235160937467910,Zaida DeGuzman,0,0,5,0,"[-87.940033, 41.644102]","Chicago, IL",,171,217,1,0.74
3475,2021-11-01T16:58:15+00:00,Sekiwe Mahlangu has the sweetest mother. Mama Ndileka is such a joy!,1455217634232971269,Devinity,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,233,181,1,0.62
4296,2021-11-01T15:31:00+00:00,"It brings me no joy to destroy my wife in our matchup this week, but I also didn’t wanna fall under .500. Sorry not sorry 😅😶‍🌫️ #NFL #FantasyFootball @YahooFantasy https://t.co/G2PL0BhXKm",1455195676200116228,David Ruiz,0,1,3,0,"[-87.805698, 41.8650062]","Oak Park, IL","['NFL', 'FantasyFootball']",1462,2856,1,-0.14
4862,2021-11-01T14:28:44+00:00,"Chicago ✈NYC for #NFTNYC2021 

Meeting FAM IRL for @NFT_NYC &amp; beyond. The Happy Little Hypebeast event w/ @ARTZisArtsy &amp; the Dreamers gonna be off the ⛓ 

The ""Joy of Minting"" is live https://t.co/yDthkPMtEI 
https://t.co/cxw9BDS2Iv https://t.co/HqthaDYkhj",1455180007303753736,J.J. Weinberg,5,3,15,0,"[-87.74228811264038, 41.78763300835753]",Chicago Midway International Airport (MDW),['NFTNYC2021'],1174,1154,1,0.82
5449,2021-11-01T12:53:12+00:00,7:39 am. There’s still an Almond Joy left down the street. No one wants Almond Joy. https://t.co/WBEQK0StrY,1455155964601114627,Caffeinated and Boosted Carmin,2,0,12,0,"[-87.940033, 41.644102]","Chicago, IL",,1448,4994,1,0.75
6988,2021-11-01T03:17:35+00:00,"Last Night in SoHo was a banger! Incredibly dazzling cinematography and sound mixing, Anya Taylor-Joy stole the show. Truly thrilling. I'm glad movies are becoming good again.",1455011109384097797,MAXVVELL🪐,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,340,663,1,0.9
7675,2021-11-01T02:08:27+00:00,"The worst Halloween  candy is Bit-O-Honey, this isn’t even controversial. Second worst is Almond Joy and Mounds, also not controversial.",1454993709309759499,Monocleman1.eth,28,0,45,0,"[-87.8615841, 41.805304]","Brookfield, IL",,5808,5996,1,-0.79
8196,2021-11-01T01:17:41+00:00,"total of 4 events this weekend to bring joy through candy...in some of these childrens eyes I saw the weight of the world....but in the same kids,as well as, others....I saw candy lift the weight for a moment...and that....that moment...made it all worth it",1454980932256022528,Pastor Donovan Price,6,7,61,0,"[-87.940033, 41.644102]","Chicago, IL",,4408,5001,1,0.78
9885,2021-11-02T22:29:38+00:00,@thesageRR3 Pure joy. https://t.co/I998colwzR,1455663419852472326,Alexis,1,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",,1951,895,1,0.59
13345,2021-11-02T15:48:11+00:00,I am blessed to have south facing windows in my apartment. Waking up to these orange and pink sunrises at around 7am every day these past few weeks and just looking at the sky while lying in bed floods me with inner peace and joy. https://t.co/Jr8AgRQnIV,1455562390737719300,Emma GZ R 📍🗺️✨,0,0,5,0,"[-87.940033, 41.644102]","Chicago, IL",,708,503,1,0.83
13998,2021-11-02T14:33:05+00:00,"Seeing Megan win brings me so much joy man. 

She genuinely seems like a good ass person. https://t.co/eUoyssSSlr",1455543489970716680,Kanye Clark-Sheard,1,1,9,0,"[-87.940033, 41.644102]","Chicago, IL",,1592,853,1,0.87
16529,2021-11-02T03:09:35+00:00,ik its weird but the joy i get looking into other peoples windows at night especially when im passing by on a train is unmeasured,1455371484017446914,👾,1,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",,11,11,1,0.7
17202,2021-11-02T02:09:04+00:00,"This is a blasphemous claim, Joy! Let’s set up a time to discuss and test your theory https://t.co/vfWz2UbzwK",1455356252113022979,Juan Legend,0,0,10,0,"[-87.940033, 41.644102]","Chicago, IL",,419,707,1,0.62
18432,2021-11-02T00:37:34+00:00,"It’s Hard To Express Joy When You Are Frustrated!
@simongordon1",1455333227103674372,Triedstone Church of Chicago,0,0,0,0,"[-87.658155, 41.70466482639313]",Triedstone Full Gospel Baptist Church,,383,19,1,0.0
19968,2021-11-03T22:03:07+00:00,Alrighty! I’m settled in for the night in Chicago. I’ll head home to Detroit via the Wolverine line (I’ve done this many times) tomorrow at 1 pm. It’s been a JOY to share this journey with old and new friends. Cheers to more wide-open spaces. @Amtrak see ya soon! https://t.co/pNathMbehf,1456019131560566795,Candice Fortman,2,0,42,0,"[-87.940033, 41.644102]","Chicago, IL",,5054,2947,1,0.93
22140,2021-11-03T17:49:55+00:00,"Yes, yes it does. I want joy in my life. 😂😂😂 art/music Twitter &gt;&gt;&gt;&gt;&gt; political Twitter. https://t.co/ZCONrMFOis",1455955413539688451,Misty Callahan,0,0,3,0,"[-87.883955, 41.834043]","Broadview, IL",,4702,3825,1,0.86
22524,2021-11-03T16:59:57+00:00,"Congratulations to Ian and Brooklyn #Berry your #wedding was a joy to entertain! Thanks for the eclectic #music playlist! 

#happinessproducer #crowdmover #eventdj #JustDance #rasputin #weddingdj #djlife https://t.co/rKtGhOrlDQ",1455942836717858816,dj adrian,1,0,0,0,"[-87.940033, 41.644102]","Chicago, IL","['Berry', 'wedding', 'music', 'happinessproducer', 'crowdmover', 'eventdj', 'JustDance', 'rasputin', 'weddingdj', 'djlife']",193,546,1,0.93
22537,2021-11-03T16:58:40+00:00,Just organized my bathroom storage/linen closet and this is some of the most joy I’ve felt in a while ☺️,1455942514565914626,The Joyful Reader,0,0,1,0,"[-87.826203, 41.908494]","Elmwood Park, IL",,446,1273,1,0.62
22944,2021-11-03T16:19:05+00:00,"We do love to share with gratitude and joy our fall stories of belonging, community and faith we share @StClement https://t.co/ji9TiyXZgv",1455932553030950922,Fr. Peter Wojcik,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",,4962,627,1,0.96
23198,2021-11-03T15:50:52+00:00,"Each day is filled with possibilities. Letters. Building. Art. Small group work. Friendship. Joy. Purposeful play.
🤍
 #MaryMeyerSchool #ChicagoPreschool #Preschool #PurposefulPlay @ Mary Meyer School https://t.co/x2pFrFqB6s",1455925453890326530,MaryMeyerSchool,0,0,0,0,"[-87.64105, 41.93345]","Chicago, IL","['MaryMeyerSchool', 'ChicagoPreschool', 'Preschool', 'PurposefulPlay']",161,62,1,0.84
24586,2021-11-03T13:04:45+00:00,"Good morning #MarketingTwitter, especially those who work to bring others joy through their marketing. Evoke an emotional response 🙌🏻",1455883649430261762,Joel Primack 🦁,2,0,5,0,"[-87.940033, 41.644102]","Chicago, IL",['MarketingTwitter'],1051,1763,1,0.81
24674,2021-11-03T12:47:03+00:00,Our relationship with God frees us to be people of encounter and of joy knowing that we always have a reason for hope! #AllSaints https://t.co/zaLmxdTTlA,1455879196350328837,Fr. Peter Wojcik,0,1,7,0,"[-87.940033, 41.644102]","Chicago, IL",['AllSaints'],4962,627,1,0.88
25305,2021-11-03T07:45:44+00:00,Joy comes in the morning 🙏🏾,1455803366836166656,mango love,0,2,7,0,"[-87.940033, 41.644102]","Chicago, IL",,1742,994,1,0.59
26070,2021-11-03T04:14:23+00:00,"@RealJDDrake I feel ya, friend.  I am so happy for you because I know I was crying ugly in public full of joy in Cleveland right about now five years ago.  Congrats &amp; ENJOY!!!!",1455750179139854339,val capone: she/her,0,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",,2888,2895,1,0.88
28493,2021-11-03T00:48:32+00:00,@JoyTaylorTalks Speak that truth Joy,1455698373596655616,Tim Samuel,0,0,0,0,"[-87.863231, 41.86419]","Maywood, IL",,105,281,1,0.73
29487,2021-11-04T23:22:45+00:00,What a spooktacular job done by the team @MarcusGarveyES. Thanks for bringing the joy for our children🎉👍🏽🎓 https://t.co/VWHcljvN7c,1456401562834702340,Stacy Stewart,0,0,7,0,"[-87.940033, 41.644102]","Chicago, IL",,958,769,1,0.77
30365,2021-11-04T21:48:34+00:00,"#HappyDiwali
Let’s celebrate the #FestivalOfLights India’s biggest and most important holiday! Ushering in the Hindu new year, Diwali is celebrated with lights, color, joy, and good food. 
#Diwali #Diwali2021 https://t.co/JP6eWGLgem",1456377860432830467,RushAnesthesiologyResidency,0,0,5,0,"[-87.940033, 41.644102]","Chicago, IL","['HappyDiwali', 'FestivalOfLights', 'Diwali', 'Diwali2021']",394,185,1,0.96
30598,2021-11-04T21:21:23+00:00,"We are about Black joy over here at all times but especially during the holiday season when joy can sometimes be hard to find. 

Snag your “Tis The Season For Black Joy” T-shirts in the shop! 🎄 

https://t.co/YOX10rGcrl

#BlackPlantLovers",1456371016846954506,BlackPlantLovers,0,3,2,0,"[-87.940033, 41.644102]","Chicago, IL",['BlackPlantLovers'],103,36,1,0.91
31136,2021-11-04T20:20:37+00:00,"@BrendanSugrue If you're having a bad day, or even not. I know this'll bring some joy to it. https://t.co/eACnIXypxp",1456355724250992643,Bradley Peters,1,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",,109,231,1,0.08
31210,2021-11-04T20:13:21+00:00,"Like the giallo that inspires it, LAST NIGHT IN SOHO requires some major suspension of disbelief, but it’s so damn stylish that it’s hard not to get wrapped up in the ‘60s, Anglophile cool of it all, even if it does pull its punches on the theme of evil men. Anna Taylor Joy is 💯 https://t.co/Bt9smR5CXv",1456353896327270400,Mike Vanderbilt™,5,1,74,2,"[-87.940033, 41.644102]","Chicago, IL",,31028,18991,1,-0.38
31257,2021-11-04T20:09:07+00:00,Woah. Thought I had royally torched my hair somehow while I was blow drying it then I remembered I had frozen Indian food dinner in the microwave. The joy of living in a studio apartment. I still have remnants of smokey fire pit odor from sitting right by the fire pit on Sunday.,1456352832534237186,jeannette with two motherfucking N’s,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,320,758,1,0.0
31864,2021-11-04T19:00:17+00:00,@Kimber_Lee90 I know this joy oh so well &amp; I'm so happy for you lady.  💜✨💜✨,1456335511434444812,val capone: she/her,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,2888,2895,1,0.91
33333,2021-11-04T16:24:14+00:00,@craigspoplife ❤The joy in their faces!,1456296239272800262,Rosalind Cummings-Yeates📚🛩🌏,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",,7513,2947,1,0.62
34840,2021-11-04T13:48:13+00:00,Happy Birthday  @D_Hest23  ! He brought  joy to me! Time rock with # 23 jersey  on https://t.co/cO2itG95iR https://t.co/lKMLWf2E3f,1456256974253744132,Gabriel D.Silva Go Maholms,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",,2516,2902,1,0.84
34964,2021-11-04T13:33:17+00:00,"""Joy is distinct not only from pleasure in general but even from aesthetic pleasure. It must have the stab, the pang, the inconsolable longing.""
⏤ C.S. Lewis, Surprised by Joy #CSLI",1456253216014929929,C.S. Lewis Institute,0,4,8,0,"[-87.940033, 41.644102]","Chicago, IL",['CSLI'],5230,494,1,-0.31
35524,2021-11-04T12:13:47+00:00,"This is 45. I have more wrinkles &amp; more gray hair, but I also have more joy. My three kids are amazing. My husband is still my fave person to laugh with, and my career is my dream job. Life is good. #birthday https://t.co/QotoonBV3s",1456233209633644549,Lindsay Currie,76,0,294,1,"[-87.940033, 41.644102]","Chicago, IL",['birthday'],12374,4843,1,0.98
35697,2021-11-04T11:32:25+00:00,"Lord Jesus, You are our treasure and our everything. May we know the joy of loving and serving You all the days of our lives. Show us the way to true happiness.",1456222801954758656,brcampmin,0,0,1,0,"[-87.798798, 41.68331]","Oak Lawn, IL",,157,190,1,0.95
39755,2021-11-05T23:00:18+00:00,Comparison really is the thief of joy yall.,1456758298473009154,JD,0,38,85,3,"[-87.940033, 41.644102]","Chicago, IL",,369,543,1,0.04
43740,2021-11-05T15:54:28+00:00,miso soup the only current joy in my life,1456651135062794243,👾,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",,11,11,1,0.59
50509,2021-11-06T21:51:34+00:00,I’ve never squealed in such joy at a kitten video before. https://t.co/Y6Tr4MDtN0,1457103389754544128,mickey’s twinkroom journey「ミッキー@DRS」,0,1,9,0,"[-87.940033, 41.644102]","Chicago, IL",,1553,1155,1,0.59
51329,2021-11-06T20:21:50+00:00,What’s not to like about mounds. It’s chocolate and coconut. I can see why people might not like almond joy but why does mounds get a bad rep,1457080806241939456,chupacabra,1,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",,129,226,1,-0.84
52005,2021-11-06T19:17:54+00:00,"@Concern81249066 Once we found that ATT
also fronts CNN just like OAN
many immediately last
strawed CNN with our
Diabolical boycotting
Techniques
Most won't watch Mourning
Joe ,Chuck Todd and Nicole Wallace is blatant GOP.
So it's Joy Reed
Maddow and the late guy
Bringing home the Bacon
😉😊 https://t.co/LHZJbwkm5K",1457064717177040896,Grant Noland Jr.,1,1,1,1,"[-87.940033, 41.644102]","Chicago, IL",,27148,27834,1,0.76
52235,2021-11-06T18:55:24+00:00,"for the first time in almost two years, i got to see one of my favorite things last night: the look of pure joy on my dad’s face when he and i go to concerts together. 

it doesn’t get much better than live music with this guy, though the pizza we had after the show came close. https://t.co/ywAvIiiqor",1457059054946226179,Andy Dahn,1,0,20,0,"[-87.940033, 41.644102]","Chicago, IL",,538,331,1,0.87
52414,2021-11-06T18:36:16+00:00,"@JoyAnnReid Joy stop this! This is not how you ""fight"" by attacking your own! Fight the republicans who are opposing the bill!",1457054240267018245,Sam -GSD- Fisher 🐝⚖💛,2,1,10,0,"[-87.940033, 41.644102]","Chicago, IL",,2372,2323,1,-0.6
54239,2021-11-06T15:18:53+00:00,What does the next phase of your life look like? Are you doing what brings you joy? Are you surrounded by those who love and care about you?,1457004566902415364,delo,0,1,1,0,"[-87.940033, 41.644102]","Chicago, IL",,164,536,1,0.94
54495,2021-11-06T14:50:54+00:00,Lean in to your joy🍂 https://t.co/kTfBI1CR06,1456997525081235460,Steve Quinlan,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",,207,606,1,0.0
57458,2021-11-06T02:39:03+00:00,"🎶 With bunny bee crystals and love and joy, they turn into a cabbage patch girl or boy. 🎶 #TerrorTweet",1456813351498027016,David 🦆,0,0,3,0,"[-87.940033, 41.644102]","Chicago, IL",['TerrorTweet'],243,674,1,0.84
58714,2021-11-06T00:15:13+00:00,@DianaRoss Thank you for being you.  Thank you for so many years of joy.  Thank you for this album.  Love is the answer.  🧡🧡🧡,1456777152758796290,David M Soto,0,0,3,0,"[-87.940033, 41.644102]","Chicago, IL",,63,138,1,0.94
59621,2021-11-07T22:54:28+00:00,@Carlos_Rodon55 thank you for everything! Was a joy to watch you pitch for this team.,1457481606386618377,Daniel,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,667,1028,1,0.76
60305,2021-11-07T21:50:31+00:00,I almost get more joy out of Packer fans pain and misery in the playoffs than bears victories,1457465511919431680,Dzikhead,2,0,19,1,"[-87.940033, 41.644102]","Chicago, IL",,1473,746,1,-0.49
61630,2021-11-07T19:32:15+00:00,going thru a “period drama starring anya taylor-joy” phase,1457430717378580488,ella,1,0,7,0,"[-87.940033, 41.644102]","Chicago, IL",,89,149,1,0.0
67801,2021-11-07T01:45:59+00:00,@nyactor Joy,1457162380803203080,🇦🇺Paul 🇺🇸 Sorensen,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",,1380,4999,1,0.59
69234,2021-11-08T23:16:06+00:00,"@GageEHC I agree depending on how far down. Certainly behind: 100 Grand, Twix, Babe Ruth, Pay Day, Whatimacallit, ButterFinger and maybe Almond Joy personally.",1457849438379126785,Michael Conochan,1,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",,315,1093,1,0.88
69805,2021-11-08T22:15:41+00:00,The commentary on Leslie Odom’s ‘Joy to the World’ is not overcome by his beautiful voice even if it is from Hamilton. I can’t do it. If it’s worth listening to all the way thru let me know. 😬,1457834236048719879,Nicole Richardson,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,935,843,1,0.7
70344,2021-11-08T21:15:46+00:00,"I finally got a pro controller for the Switch, and I don’t know why it took me almost a year to finally get it. So much better than the joy-con.",1457819158092070915,John Wong,1,0,12,0,"[-87.940033, 41.644102]","Chicago, IL",,1530,1742,1,0.49
71277,2021-11-08T19:29:36+00:00,@ryanthebowman i stopped doing that. it wasn't bringing me any joy,1457792438387412993,hadley (they/them),0,0,3,0,"[-87.940033, 41.644102]","Chicago, IL",,263,544,1,0.44
71679,2021-11-08T18:41:05+00:00,"Today I asked May Friedman, PhD (she doesn’t have a Twitter) to be on my dissertation committee and she said YES!!! So much fat joy!!!",1457780228458106884,Bree So,1,0,9,0,"[-87.940033, 41.644102]","Chicago, IL",,1248,1676,1,0.86
72054,2021-11-08T17:53:01+00:00,@NakedRaygun family needs your help. Please donate and/or share this link. @EricSpicer1 and Joy are good people. #believeinbelieve Thanks! https://t.co/kEDztcTWRI,1457768133280808965,FotoPunkMMG,0,0,0,0,"[-87.805698, 41.8650062]","Oak Park, IL",['believeinbelieve'],275,1283,1,0.94
72126,2021-11-08T17:43:30+00:00,@Krismybass @jxeker this brings me great joy,1457765737297321990,Mrs. Darby,0,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",,16954,1422,1,0.84
73009,2021-11-08T16:04:05+00:00,"It was, without doubt, MORE FUN 💯 

The bonkers joy of CFB, its unique weirdness, is being slowly drained out to satisfy TV and a fathomless drive for more revenue. 

C’est la vie. But we can do better than this CFP. https://t.co/HxDGiR0J1O",1457740716604592134,Fifth Down College Football,2,3,7,1,"[-87.940033, 41.644102]","Chicago, IL",,1539,480,1,0.63
74172,2021-11-08T13:40:06+00:00,Y'all it's my birthday today!! And this is my pure joy 🥰🥰🥰 https://t.co/dcAnZJ83I6,1457704484298240004,"OM Ezeoke, MD",12,0,41,0,"[-87.940033, 41.644102]","Chicago, IL",,1368,1334,1,0.66
75573,2021-11-08T04:18:11+00:00,i get so much joy out of seeing people get deals on shark tank,1457563073800192005,✧ deandre ✧,0,0,3,0,"[-87.940033, 41.644102]","Chicago, IL",,7769,1001,1,0.62
78947,2021-11-09T22:00:02+00:00,dude the holidays add more stress than joy imo why do people like this shit,1458192684968038402,cole,0,0,11,0,"[-87.940033, 41.644102]","Chicago, IL",,2614,1162,1,0.21
80317,2021-11-09T19:17:20+00:00,"32 days til the joy of #TBOX!!!!  TBOX2021, Festa’s 25th Annual 12 Bars of Xmas in Wrigleyville, Chicago, Saturday, December 11, https://t.co/wvwdv7wHTF ❤️💚 🍺🍺 #wrigleyville #chicagoevents https://t.co/z1R2rnRBNj",1458151740105187331,"TBOX Bar Crawls, Wrigleyville Chicago",0,0,3,0,"[-87.940033, 41.644102]","Chicago, IL","['TBOX', 'wrigleyville', 'chicagoevents']",5024,486,1,0.72
80619,2021-11-09T18:44:28+00:00,@BorgheseAmira @cuomoallthetime I agree. Trying to decide how I'll decorate this year. We need joy!,1458143467712942081,Beverly Kelley,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",,50,179,1,0.76
81559,2021-11-09T17:01:31+00:00,@goldengracekel1 shared this beautiful picture of my sis who lives out of state and just made my day. Hope she brings joy to yours as well. BOOP! https://t.co/lL194dONiq,1458117562135420931,Jeremy Ross,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,5956,3429,1,0.94
81869,2021-11-09T16:25:10+00:00,You heard the man! Spread the joy of @JeppsonsMalort! https://t.co/28Liqdc3s3,1458108411724316675,AO Chicago,2,0,5,0,"[-87.940033, 41.644102]","Chicago, IL",,2177,230,1,0.66
82962,2021-11-09T14:12:23+00:00,"Best thing I’ve read in a long time…please read all 4 parts, and cry with a little joy! https://t.co/JinlOP9jvH",1458074997403095042,Rich Puszczewicz,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",,771,2910,1,0.71
83220,2021-11-09T13:42:40+00:00,@iamtycole She’s a joy,1458067517734334465,Brandon Pope TV,0,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",,13150,5852,1,0.59
88013,2021-11-09T01:26:21+00:00,i have never met a friendlier crowd than at this jeremy zucker show. in between sets so many people have complimented my tattoos and asked me about my photography and i am currently just bursting with joy,1457882215841468425,lanz,0,0,8,0,"[-87.940033, 41.644102]","Chicago, IL",,901,849,1,0.63
89346,2021-11-10T23:15:21+00:00,"Today I, @ChiAlderwoman and the @RogersParkBA joined small business owners in cutting the ribbons to celebrate the reopening of 15 businesses in Rogers Park! As the son of a longtime Rogers Park salon owner, I took great joy in celebrating these diverse business owners… https://t.co/hP4j25IcKl",1458574026557767691,Senator Mike Simmons,1,1,11,0,"[-87.940033, 41.644102]","Chicago, IL",,833,244,1,0.94
92196,2021-11-10T18:07:42+00:00,When celebrities go on Sesame St. it's clear how much they are enjoying it.  Look how happy she is singing a version of her song with the Count and the joy when he laughs and lightning flashes. https://t.co/GrBUzAl8bb,1458496603174604802,Matt Hicks,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,333,1096,1,0.95
94389,2021-11-10T14:02:25+00:00,"“Darion D'Anjou One Minute Film School: Editing (Zoom)” with @dariondanjou, Skye Nakamura, @bySinclair, Joy Davis, and Movie Makers. Today, Nov 10 at 6:00 PM CST in @clubhouse! https://t.co/Li18oSX3j7",1458434875162234881,🟣Revolution MacInnes  (he/him),0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,21970,23534,1,0.62
